sido,sgg,population,lat,long,sido_sgg,sido_code,sgg_code,image_src
경상북도,안동,157805,36.568354299999996,128.729357,경상북도 안동,35,11,https://tong.visitkorea.or.kr/cms/resource/43/2654743_image2_1.jpg
경상북도,구미,414284,36.119485,128.34457340000003,경상북도 구미,35,4,https://tong.visitkorea.or.kr/cms/resource/48/2038148_image2_1.jpg
경상북도,영주,102440,36.80568579999999,128.6240551,경상북도 영주,35,14,https://tong.visitkorea.or.kr/cms/resource/22/2654222_image2_1.jpg
경상북도,영천,102099,35.97329149999999,128.9385493,경상북도 영천,35,15,https://tong.visitkorea.or.kr/cms/resource/42/1614942_image2_1.jpg
경상북도,상주,96273,36.4109466,128.1590828,경상북도 상주,35,9,https://tong.visitkorea.or.kr/cms/resource/25/609425_image2_1.jpg
경상북도,문경,71409,36.586148,128.1867972,경상북도 문경,35,7,https://tong.visitkorea.or.kr/cms/resource/56/1613456_image2_1.jpg
경상북도,경산,266747,35.8250555,128.7415441,경상북도 경산,35,1,https://tong.visitkorea.or.kr/cms/resource/34/655734_image2_1.jpg
경상북도,군위,22924,36.2428355,128.5727702,경상북도 군위,35,5,https://tong.visitkorea.or.kr/cms/resource/04/1613404_image2_1.jpg
경상북도,의성,51099,36.3526576,128.6970053,경상북도 의성,35,19,https://tong.visitkorea.or.kr/cms/resource/22/721322_image2_1.jpg
경상북도,청송,24784,36.4359045,129.05710770000002,경상북도 청송,35,21,https://tong.visitkorea.or.kr/cms/resource/84/2616884_image2_1.jpg
경상북도,영양,16411,36.666655799999994,129.1124007,경상북도 영양,35,13,https://tong.visitkorea.or.kr/cms/resource/37/2704937_image2_1.jpg
경상북도,영덕,35779,36.4150799,129.36596809999998,경상북도 영덕,35,12,https://tong.visitkorea.or.kr/cms/resource/13/2026513_image2_1.jpg
경상북도,청도,41847,35.6472706,128.7339107,경상북도 청도,35,20,https://tong.visitkorea.or.kr/cms/resource/66/582766_image2_1.jpg
경상북도,고령,30927,35.7261415,128.262953,경상북도 고령,35,3,https://tong.visitkorea.or.kr/cms/resource/14/2629214_image2_1.bmp
경상북도,성주,42964,35.9190079,128.28297379999998,경상북도 성주,35,10,https://tong.visitkorea.or.kr/cms/resource/77/1403277_image2_1.jpg
경상북도,칠곡,114016,35.9953059,128.4015434,경상북도 칠곡,35,22,https://tong.visitkorea.or.kr/cms/resource/20/1055520_image2_1.jpg
경상북도,예천,55784,36.657700399999996,128.4528808,경상북도 예천,35,16,https://tong.visitkorea.or.kr/cms/resource/89/2034889_image2_1.jpg
경상북도,봉화,31084,36.8930933,128.7323752,경상북도 봉화,35,8,https://tong.visitkorea.or.kr/cms/resource/93/1737993_image2_1.jpg
경상북도,울진,48206,36.9930661,129.4004195,경상북도 울진,35,18,https://tong.visitkorea.or.kr/cms/resource/22/2395322_image2_1.jpg
경상북도,울릉,8990,37.4844171,130.90580020000002,경상북도 울릉,35,17,https://tong.visitkorea.or.kr/cms/resource/74/2547574_image2_1.jpg
경상남도,창원,1034527,35.2279868,128.68181429999998,경상남도 창원,36,16,https://tong.visitkorea.or.kr/cms/resource/16/2043316_image2_1.jpg
경상남도,진주,347204,35.179981700000006,128.1076213,경상남도 진주,36,13,https://tong.visitkorea.or.kr/cms/resource/56/1611556_image2_1.jpg
경상남도,통영,126413,34.8544227,128.43318200000002,경상남도 통영,36,17,https://tong.visitkorea.or.kr/cms/resource/30/2363530_image2_1.jpg
경상남도,사천,110414,35.00377879999999,128.064185,경상남도 사천,36,8,https://tong.visitkorea.or.kr/cms/resource/10/1611410_image2_1.jpg
경상남도,김해,539841,35.2285451,128.8893517,경상남도 김해,36,4,https://tong.visitkorea.or.kr/cms/resource/10/1921410_image2_1.jpg
경상남도,밀양,104070,35.5037598,128.7464415,경상남도 밀양,36,7,https://tong.visitkorea.or.kr/cms/resource/96/2666896_image2_1.jpg
경상남도,거제,243200,34.8806427,128.6210824,경상남도 거제,36,1,https://tong.visitkorea.or.kr/cms/resource/93/2612893_image2_1.jpg
경상남도,양산,353686,35.33500720000001,129.0371689,경상남도 양산,36,10,https://tong.visitkorea.or.kr/cms/resource/01/1228701_image2_1.jpg
경상남도,의령,26526,35.3221896,128.261658,경상남도 의령,36,12,https://tong.visitkorea.or.kr/cms/resource/72/2689572_image2_1.jpg
경상남도,함안,63157,35.2725591,128.4064797,경상남도 함안,36,19,https://tong.visitkorea.or.kr/cms/resource/04/724504_image2_1.jpg
경상남도,창녕,60754,35.544556299999996,128.4922143,경상남도 창녕,36,15,https://tong.visitkorea.or.kr/cms/resource/97/1803897_image2_1.jpg
경상남도,고성,50933,34.973149,128.3222456,경상남도 고성,36,3,https://tong.visitkorea.or.kr/cms/resource/91/1611191_image2_1.jpg
경상남도,남해,42650,34.8376721,127.89242340000001,경상남도 남해,36,5,https://tong.visitkorea.or.kr/cms/resource/12/1991512_image2_1.jpg
경상남도,하동,44065,35.0672108,127.7512687,경상남도 하동,36,18,https://tong.visitkorea.or.kr/cms/resource/78/177178_image2_1.jpg
경상남도,산청,34587,35.4155885,127.87349809999999,경상남도 산청,36,9,https://tong.visitkorea.or.kr/cms/resource/00/2658500_image2_1.jpg
경상남도,함양,38793,35.5204614,127.7251763,경상남도 함양,36,20,https://tong.visitkorea.or.kr/cms/resource/86/1612686_image2_1.jpg
경상남도,거창,61555,35.6867229,127.9095155,경상남도 거창,36,2,https://tong.visitkorea.or.kr/cms/resource/76/2720276_image2_1.JPG
경상남도,합천,43465,35.56657579999999,128.16579950000002,경상남도 합천,36,21,https://tong.visitkorea.or.kr/cms/resource/48/2690648_image2_1.jpg
경상남도,마산,368899,35.213516,128.581433,경상남도 마산,36,6,https://search.pstatic.net/common/?src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F002%2F2020%2F08%2F07%2F0002145397_003_20200807172135928.jpg&type=sc960_832
경상남도,진해,193430,35.1330251,128.7100381,경상남도 진해,36,14,https://w.namu.la/s/759c45c1fcb0541abaa3207b994c95835cb5f290fb2062929e5feef2b904b61e16a87e81fac4f8d4df05e60e139bdafbfdeb8a258aa7622b95e6549152cb43314b15b451198c3248a2d109bda87e3843a85b38f73a27ee3ff720c5222b53ea8c7df4eb9ce54112769cf2e39e7c267863
제주도,제주,492627,33.4996213,126.5311884,제주도 제주,39,4,https://tong.visitkorea.or.kr/cms/resource/04/2658504_image2_1.jpeg
제주도,서귀포,182666,33.2541205,126.560076,제주도 서귀포,39,3,https://tong.visitkorea.or.kr/cms/resource/47/2615547_image2_1.bmp
