,terminalId,terminalNm,city
505,NAI2515904,장평(경북),경상북도
506,NAI2515905,연애,강원도
507,NAI2516001,두촌,강원도
508,NAI2516002,원동입구(시내),강원도
509,NAI2516003,중촌(시내),강원도
510,NAI2516201,와야리,강원도
511,NAI2516301,화상대,강원도
512,NAI2516302,내촌,강원도
513,NAI2516401,철정,강원도
514,NAI2516402,역내리(시내),강원도
515,NAI2516403,지다치(시내),강원도
516,NAI2516501,용두안,강원도
517,NAI2516502,하대월,강원도
518,NAI2516503,어론삼거리,강원도
519,NAI2516701,생곡,강원도
520,NAI2516702,검산,강원도
521,NAI2516703,상대월,강원도
522,NAI2516801,청량,강원도
523,NAI2517001,상뱃재,강원도
524,NAI2517002,청도,강원도
525,NAI2517003,광원,강원도
526,NAI2517004,절애,강원도
527,NAI2517102,괸돌,강원도
528,NAI2520001,복지골,강원도
529,NAI2520002,풍수원,강원도
530,NAI2520003,유현리,강원도
531,NAI2520601,공근,강원도
532,NAI2521201,옥동(강원),강원도
533,NAI2521301,추동,강원도
534,NAI2523401,횡성,강원도
535,NAI2523901,원주공항,강원도
536,NAI2524401,용둔,강원도
537,NAI2524402,개전,강원도
538,NAI2524403,너렁,강원도
539,NAI2524501,정금,강원도
540,NAI2524502,황고개,강원도
541,NAI2524801,새말,강원도
542,NAI2524802,우항,강원도
543,NAI2525201,진구비,강원도
544,NAI2525301,속실,강원도
545,NAI2525302,당재,강원도
546,NAI2525303,춘당,강원도
547,NAI2525601,청일,강원도
548,NAI2525602,초현,강원도
549,NAI2525801,갑천,강원도
550,NAI2525901,한치,강원도
551,NAI2525902,구방,강원도
552,NAI2526002,판관터,강원도
553,NAI2526301,두원,강원도
554,NAI2526501,둔내,강원도
555,NAI2526601,현천4리,강원도
556,NAI2526602,현천2리,강원도
557,NAI2526801,소사입구,강원도
558,NAI2526803,횡성휴게소,강원도
559,NAI2527101,안흥,강원도
560,NAI2530401,창마을,강원도
561,NAI2531401,평창휴게소,강원도
562,NAI2531501,장평,강원도
563,NAI2533201,진부,강원도
564,NAI2533601,신기,강원도
565,NAI2534501,횡계,강원도
566,NAI2535101,알펜시아,강원도
567,NAI2535201,평창(용평리조트),강원도
568,NAI2535401,신2리,강원도
569,NAI2535601,대화3리,강원도
570,NAI2535602,광천,강원도
571,NAI2535603,제재,강원도
572,NAI2535801,대화,강원도
573,NAI2536401,방림,강원도
574,NAI2536402,계촌,강원도
575,NAI2536403,계촌3리,강원도
576,NAI2536404,수동,강원도
577,NAI2536405,대미,강원도
578,NAI2536502,면소,강원도
579,NAI2536505,방림4리,강원도
580,NAI2536601,사그네,강원도
581,NAI2536602,여우재,강원도
582,NAI2536901,뱃재,강원도
583,NAI2537002,지동,강원도
584,NAI2537101,고길리,강원도
585,NAI2537301,입탄,강원도
586,NAI2537601,평창,강원도
587,NAI2537602,앞애실,강원도
588,NAI2537603,아침제,강원도
589,NAI2537604,유목정,강원도
590,NAI2537605,진바리,강원도
591,NAI2537606,학교앞,강원도
592,NAI2537607,대하리,강원도
593,NAI2537608,사천(판),강원도
594,NAI2537609,새즐대기,강원도
595,NAI2537610,마ㄹ하,강원도
596,NAI2537611,평안2리,강원도
597,NAI2537612,말교,강원도
598,NAI2537613,사천(운),강원도
